"edge_id","from_metric","to_ticker","side","edge_type","hops","cert_tier","cert_method","tradable_score","warning_score","is_key","evidence","status","notes","chain"
"e_d1_cien","m_800g_shipment","CIEN","supply","E2_supplier","1","T1（候选）","同上","0.09","0.04","☆","—","testing","D1 子节点：光互连；因子 r0.6/e0.3/l0.3/s0.6/φ0.3，c=0.81，τ=0.40（from=800G 出货 P3/P4：r=M；年度预测 φ=L）；分数仅排序，假设 A1–A9",""
"e_d1_mrvl","m_gpu_ship","MRVL","supply","E2_supplier","1","T1（候选）","同上","0.39","0.04","☆","—","testing","D1 子节点：定制芯片 / 光 DSP；因子 r0.9/e0.3/l0.3/s0.9/φ0.6，c=0.81，τ=0.40（同上）；分数仅排序，假设 A1–A9",""
"e_d1_poet","m_800g_shipment","POET","supply","E2_supplier","1","T1（候选）","同上","0.09","0.04","☆","—","testing","D1 子节点：光互连；因子 r0.6/e0.3/l0.3/s0.6/φ0.3，c=0.81，τ=0.40（同上）；分数仅排序，假设 A1–A9",""
"e_d1_amd","m_gpu_ship","AMD","supply","E2_supplier","1","T1（候选）","同上","0.39","0.04","☆","—","testing","D1 子节点：加速器；因子 r0.9/e0.3/l0.3/s0.9/φ0.6，c=0.81，τ=0.40（同上）；分数仅排序，假设 A1–A9",""
"e_frontierfund_nbis","m_lab_funding_frontier","NBIS","demand","E3_customer","2","T3","方向：前沿 lab 融资总量 → neocloud 需求；非确认客户，不可回归","0.03","0.26","★★","三大 lab 2026 融资 ≈$207B（计算值）","testing","E34 补边：前沿 lab 融资总量是 neocloud 需求的领先读，但 OpenAI / Anthropic / xAI 非 NBIS 确认客户 → T3；因子 r0.6/e0.3/l0.9/s0.6/φ0.3，c=0.24，τ=0.95（r=M 混合 P1/P2；e=L 全公开；l=H 领先数季度；φ=L 事件驱动）；分数仅排序，假设 A1–A9","lab 算力采购力"
"e_circular_nbis","m_circular_financing","NBIS","regime","E6_flow","1","T2（提议）","事件研究 + 结构：供芯方入股 → 采购与融资条件；「循环」判读 D","0.09","0.10","★★★","NVIDIA 投 Nebius $2B（2026-03-11，P1）","testing","E34 补边：NBIS 循环融资敞口的一手事实边；敞口量化占位 C18；因子 r0.9/e0.3/l0.6/s0.6/φ0.3，c=0.54，τ=0.55（r=H 官方新闻稿；e=L 公开；l=M；s=M 事件；φ=L）；分数仅排序，假设 A1–A9",""
"e_crwv_nbis","m_crwv_peer","NBIS","compete","E4_competitor","1","T1（候选）","同业 read-through：CRWV 收入 / backlog / capex 与 NBIS 同向回归（两者均上市，点够）","0.39","0.04","★★","CRWV Q2 backlog ≈$104B、capex $9.4B（P1）","testing","E34 补边：同业对照，非做空义；假设 C4 代理序列；因子 r0.9/e0.3/l0.3/s0.9/φ0.6，c=0.81，τ=0.40（r=H IR；e=L；l=L 同步；s=H 结构化；φ=M 季）；分数仅排序，假设 A1–A9",""
"e_gpu_nbis","m_gpu_ship","NBIS","supply","E2_supplier","1","T2（提议）","结构：NVDA 数据中心出货 / 代际 → NBIS 采购成本与可得；指引不含中国 DC compute","0.26","0.04","★★","NVDA Q2 FY27 DC $89.0B（P1）","testing","E34 补边：NBIS 的 GPU 供应商本体；因子 r0.9/e0.3/l0.3/s0.9/φ0.6，c=0.54，τ=0.40（r=H；e=L；l=L；s=H；φ=M）；分数仅排序，假设 A1–A9",""
"e_costtoken_nbis","m_cost_per_token","NBIS","demand","E3_customer","2","T3","方向：cost/token 变化 → 推理需求弹性 → neocloud 用量；分档（C16′）","0.08","0.14","★","2026 降价三事件 + Gemini 涨价（P1）","testing","E34 补边：D6 token 经济 → NBIS 需求；因子 r0.9/e0.3/l0.6/s0.6/φ0.6，c=0.24，τ=0.80（r=H 官方定价页；e=L；l=M；s=M；φ=M 周）；分数仅排序，假设 A1–A9","推理需求弹性"
"e_anthropic_amd","m_lab_funding_frontier","AMD","demand","E3_customer","1","T2（提议）","结构 + 真值对账：Anthropic 2GW MI450 合作 → AMD DC 收入","0.09","0.10","☆","AMD Q2 2026 PR（P1）","testing","E34 补边：D3 lab 资本 → D1 加速器的直接实例；尾仓；因子 r0.9/e0.3/l0.6/s0.6/φ0.3，c=0.54，τ=0.55（r=H AMD IR；e=L；l=M；s=M；φ=L 事件）；分数仅排序，假设 A1–A9",""
"e_capex_nbis","m_hyperscaler_capex","NBIS","supply","E5_theme","2","T1（候选）","lead-lag：四家 capex 合计 → AI 集群在建 → neocloud 扩张环境；两端可回测","0.35","0.14","★★","2026Q2 ≈$166B（计算值，分项 P1）","testing","E38 补边：capex 是 e_optics_nbis 回测的下游代理（C4），本身也是 NBIS 的环境 beta；因子 r0.9/e0.3/l0.6/s0.9/φ0.6，c=0.73，τ=0.80；分数仅排序，假设 A1–A9","全球 AI 集群在建强度"
"e_eoptolink_nbis","m_cn_optics_eoptolink","NBIS","supply","E2_supplier","3","T1","同 e_optics_nbis：lead-lag / Granger vs hyperscaler capex","0.32","0.16","★★","回测 id 待建","testing","E38 补边：与中际旭创同链同因子（doc28 原值），两家合成光模块赛道节点（C3）","全球 AI 集群在建强度 → neocloud 扩张环境"
"e_aa_nbis","m_aa_intel_index","NBIS","demand","E3_customer","3","T3","方向：前沿能力榜首持续抬升 = 训练算力需求未饱和；不可回归","0.07","0.27","★","AA v4.3 榜首 53（2026-09-07）","testing","E42 补边：与 e_capability_nbis 同机制（能力前沿 → 推理 / 训练需求 → lab 采购 → NBIS）；因子 r0.9/e0.3/l0.9/s0.6/φ0.6，c=0.22，τ=1.00；分数仅排序，假设 A1–A9；T_a 中立第三方","推理 / 训练需求 → lab 算力采购"
"e_bench_nbis","m_bench_frontier","NBIS","demand","E3_customer","3","T3","方向：ARC / SWE-bench / Arena 纪录刷新与评测成本 = 算力消耗方向","0.07","0.27","★","ARC-AGI-3 62.7% / 单次 $26K（2026-09-04）","testing","E42 补边：与 e_capability_nbis 同机制（能力前沿 → 推理 / 训练需求 → lab 采购 → NBIS）；因子 r0.9/e0.3/l0.9/s0.6/φ0.6，c=0.22，τ=1.00；分数仅排序，假设 A1–A9；评测本身即算力消耗","推理 / 训练需求 → lab 算力采购"
"e_openclosed_nbis","m_open_vs_closed","NBIS","demand","E3_customer","2","T3","方向：开源追赶 → 推理成本下压 → 用量弹性；对 neocloud 定价双向","0.08","0.26","★","AA 开源 45 vs 闭源 53；HF 下载榜 Qwen（2026-09-19）","testing","E42 补边：与 e_capability_nbis 同机制（能力前沿 → 推理 / 训练需求 → lab 采购 → NBIS）；因子 r0.9/e0.3/l0.9/s0.6/φ0.6，c=0.24，τ=0.95；分数仅排序，假设 A1–A9；双向，需人判","推理成本与用量结构"
"e_priceperf_nbis","m_infer_price_perf","NBIS","demand","E3_customer","2","T3","方向：每任务成本下行 → 推理需求弹性","0.08","0.26","★","Fable 5.1 $7.63 / Astra $3.26 / GLM-5.3 $2.01 per task（2026-09-19）","testing","E42 补边：与 e_capability_nbis 同机制（能力前沿 → 推理 / 训练需求 → lab 采购 → NBIS）；因子 r0.9/e0.3/l0.9/s0.6/φ0.6，c=0.24，τ=0.95；分数仅排序，假设 A1–A9；","推理成本与用量结构"
