"date","date_precision","event","entity_or_ticker","dim_or_entry","related_metric","basis","source_or_rule","notes"
"2026-09-02","day","FuelCell Q3 FY26 results + 75MW Capacity Reservation Agreement","FCEL","持仓 / D1 / D7","m_fcel_rev / m_fcel_dc_ppa","已发生（P1）","GlobeNewswire / SEC 8-K","对手方与金额未披露"
"2026-09-03","day","Ciena FY26 Q3 results","CIEN","持仓 / D1","m_tail_cien","已发生（P1）","investor.ciena.com","$1.67B +37%"
"2026-09-03","day","ARC Prize 发布 GPT-6 Astra ARC-AGI-3 结果","ARC Prize","D5","m_bench_frontier","已发生（P1）","arcprize.org/blog/astra","Standard harness 62.7%"
"2026-09-07","day","Artificial Analysis Intelligence Index v4.3 发布","Artificial Analysis","D5","m_aa_intel_index","已发生（P1）","artificialanalysis.ai","榜首 53 并列"
"2026-09-13","day","LMArena Text 榜快照","Arena","D5","m_bench_frontier","已发生（P1）","arena.ai/leaderboard/text","#1 claude-fable-5-high 1506"
"2026-09-30","day","Micron FY26 Q4 results + 电话会（14:30 MT）","MU","持仓 / D1","m_tail_mu","公司公告","Micron GlobeNewswire 2026-08-26（P1，我方抽核）","指引 $50.0B ± $1.0B；HBM 读数"
"2026-10-07","window（约 7–10 日）","海关总署 2026 年 9 月进出口数据发布","海关总署","D1","m_cn_optics_customs","规则推定","月度发布节奏","具体日待核海关发布日程；系数 C1 未标定，只做方向"
"2026-10-28","window（10-27 ~ 10-29，估计）","hyperscaler Q3 财报季（MSFT / GOOGL / META / AMZN capex）","MSFT / GOOGL / META / AMZN","D1","m_capex_msft / m_capex_googl / m_capex_amzn / m_capex_meta / m_hyperscaler_capex","估计","TipRanks / Wall Street Horizon（P3）：MSFT 10-27 或 10-28；GOOGL 10-28；AMZN 10-29（另见 10-22）；META 10-28；均未见官方","2026 全年 capex 指引：GOOGL $195–205B · AMZN ≈$220B · META $130–145B · MSFT CY26 ≈$175B"
"2026-10-31","deadline（≤）","中际旭创 2026 三季报披露截止","300308.SZ","D1","m_cn_optics_zte","规则推定","A 股定期报告规则：三季报须于 10 月 31 日前披露","具体日期待公司预约披露时间表"
"2026-10-31","deadline（≤）","新易盛 2026 三季报披露截止","300502.SZ","D1","m_cn_optics_eoptolink","规则推定","同上","同上"
"2026-10-31","deadline（目标）","FuelCell 年化产能 100MW 目标节点","FCEL","持仓 / D1","m_fcel_capacity","公司公告（目标）","FuelCell Q3 FY26 press release","目标值 P4"
"2026-11-04","day（估计）","STAAR Q3 2026 results","STAA","持仓","m_staa_sales","估计","MarketBeat 估计（P3）；STAAR IR events 页无 upcoming","待钉公司公告；out-of-AI-scope"
"2026-11-07","window（约 7–10 日）","海关总署 2026 年 10 月进出口数据发布","海关总署","D1","m_cn_optics_customs","规则推定","月度发布节奏","同 10 月"
"2026-11-10","day（估计）","Nebius Q3 2026 results + 电话会","NBIS","持仓 / D1","m_nbis_rev / m_nbis_arr / m_nbis_backlog / m_nbis_capacity / m_nbis_calltone","估计","MarketBeat 估计（P3）；nebius.com/financials 无 upcoming","待钉公司公告。ARR / 承诺 / 预付 / 5GW 已由 Q2 股东信升 P1；下季核对执行"
"2026-11-16","day","13F 2026Q3 申报截止","组合","持仓","m_13f_book","规则推定","SEC 13F FAQ：45 天 + 周末顺延（P1）；EDGAR 2026 日历（11-11、11-26 假日）；Gibson Dunn 2026 日历列 Nov 16（P3）","官方页面未直接印 11-16，为规则推定"
"2026-11-16","day（估计）","CoreWeave Q3 2026 results","CRWV","D1 / D3","m_crwv_peer","估计","TipRanks 11-16 confirmed vs Public.com 11-09（P3，冲突）","NBIS 同业对照"
"2026-11-17","day（估计，盘后）","NVIDIA Q3 FY27 results（数据中心收入）","NVDA","D1","m_gpu_ship","估计","Wall Street Horizon 标 confirmed（P3）；NVIDIA IR 未见公告","Q3 指引 $108B ±2%，不含中国 DC compute（P1）"
"2026-11-21","day（≥）","GPT-5.6 Sol 促销价最早结束日","OpenAI","D6","m_cost_per_token","公司公告","OpenAI 定价页「at least through November 21, 2026」",""
"2026-12-03","day（估计）","Rubrik Q3 FY27 results","RBRK","持仓 / D6","m_rbrk_rev / m_rbrk_sub_arr","估计","MarketBeat 估计（P3）；Rubrik IR events 页无 upcoming","Q3 指引 收入 $429–431M（P1）→ Forecast 列"
"2026-12-07","window（约 7–10 日）","海关总署 2026 年 11 月进出口数据发布","海关总署","D1","m_cn_optics_customs","规则推定","月度发布节奏",""
"2026-12-10","window（12 月）","NeurIPS 2026","顶会","D5","m_arxiv_topic_slope / m_new_paradigm","待核","doc29 §3.1 顶会分方向","日期与地点待核"
"2026-12-15","window（12 月中旬）","FuelCell Q4 FY26 results","FCEL","持仓 / D1","m_fcel_rev / m_fcel_backlog","待定","按 Q3 发布节奏推定；IR events 页与聚合站均无日期","待钉公司公告"
"2026-12-31","day（目标）","NBIS 800MW–1GW 上电目标","NBIS","持仓 / D1","m_nbis_capacity","公司公告（目标，Q1 2026 股东信 P1；Q2 电话会重申 P2）","Nebius Q1 2026 SHL：“800MW to 1GW of connected power by year-end”","关键可观测量；并网电力 ≠ 合同电力（5 GW）；延期 = 收入递延；假设 C12"
"2027-01-01","day","Gemini 3.8 Flash 涨价至 $1.50 / $7.50","Google","D6","m_cost_per_token","公司公告","ai.google.dev 定价页","反例：cost/token 非单调下行"
"2027-02-15","window（2 月）","IEA Electricity 2027 报告","IEA","D7","m_dc_power_iea","估计","往年 2 月发布","待核"
"event","event-driven","BIS 出口管制动作","BIS","D7","m_export_ctrl_bis","事件驱动","bis.gov 新闻稿","无排期；判读 D"
"event","event-driven","前沿 lab 融资（Reflection 二轮 / Cohere / OpenAI / Anthropic / xAI）","前沿 lab","D3","m_lab_funding_reflection / m_lab_funding_cohere / m_lab_funding_frontier","事件驱动","官方博客 / Form D / P1 媒体","无排期；lead 180d（B3）"
"event","event-driven","NBIS 新签约 / 客户预付 / 上电进度公告","NBIS","持仓 / D1","m_nbis_backlog / m_nbis_capacity","事件驱动","公司公告","无排期"
"weekly","recurring","Artificial Analysis 智能指数 / 推理性价比更新","Artificial Analysis","D5 / D6","m_aa_intel_index / m_infer_price_perf / m_cost_per_token","规则推定","周更","T_a 中立第三方"
