"kf_id","target_type","date","target","brief","watch","refs","owner","status","status_line","falsifier"
"kf016","event","2026-07-30","OpenAI GPT-5.6 Luna −80% / Terra −20% 降价","前因：OpenAI changelog 公告中低档模型降价，归因于 GPU kernel 改进使 serving 成本降 20%。关键数据：Luna 降至 $0.20 / $1.20，Terra $2 / $12。相关方：OpenAI。后果：cost/token 下行集中在中低档；前沿档 $10 / $50 一年未降，Gemini 3.8 Flash 反而公告 2027 涨价，所以「单调下行」先验退役、改为分档（C16′）。对 NBIS 是 2 跳 T3 需求弹性边。","11-21 后 Sol 促销是否转正；前沿档定价是否松动。","r: m_cost_per_token Luna/Terra","B","draft","",""
"kf017","event","2026-08-04","AMD Q2 2026 results","前因：MI400 系列发布，Anthropic 合作最多 2GW MI450。关键数据：数据中心收入 $6.7B（+107%），总收入 $11.5B，Q3 指引 ≈$13B ± $0.3B。相关方：AMD、Anthropic。后果：D1 加速器子节点；Anthropic 2GW 是 D3 lab 资本流向非 NVIDIA 算力的一手实例，对 NVIDIA 供给垄断是边际松动信号。","MI450 交付节奏；Q3 是否达 $13B。","r: m_tail_amd","B","draft","",""
"kf018","event","2026-08-05","Sandisk FY26 Q4 results","前因：NAND 周期，基金 Q2 几乎清仓 SNDK（−98.89%）。关键数据：收入 $8.97B（QoQ +51%，YoY +372%），GM 84.6%；FY27 Q1 指引 $10.3–10.8B。相关方：Sandisk。后果：基本面与指引都在上调，清仓不是因为业绩，E5 轮动是从硬件瓶颈迁到容量兑现与需求扩散。","FY27 Q1 是否达指引。","r: m_tail_sndk","B","draft","",""
"kf019","event","2026-08-11","CoreWeave Q2 2026 results","前因：CRWV 是 NBIS 最直接的上市同业，NVIDIA 持股。关键数据：收入 $2,575M（+112%），revenue backlog ≈$104B（+246%），Q2 capex $9.4B，FY26 capex 指引 $35–39B、收入 $12.4–13.2B。相关方：CoreWeave、NVIDIA。后果：给 NBIS 提供同业 read-through（T1 候选，两者都上市可回归），也是 NBIS 单票回测借历史的代理序列（C4）；backlog / capex 比例是「预合同化」商业模式的参照。","Q3（11-09 或 11-16，聚合站冲突）backlog 与 capex；与 NBIS 的 backlog 增速对比。","r: m_crwv_peer","B","draft","",""
"kf020","event","2026-08-12","Nebius Q2 2026 results + Shareholder Letter","前因：NBIS 是持仓里 51.22% 的第一大仓，Q2 是建仓后第一份财报。关键数据：收入 $582.3M（+454%），Adj. EBITDA $236.2M；ARR $3.0B（+598%）；客户承诺 >$40B；2026 客户预付 >$9B；年底合同电力目标上调至 5 GW，并网电力 800MW–1GW；新签 ACV $20–25M/MW，新一代定价机会 $40–50M/MW；全年指引重申收入 $3.0–3.4B、ARR $7–9B、capex $20–25B。相关方：Nebius、Reflection / Cohere（客户）、NVIDIA（股东 + 供芯）。后果：供给端「猛建」与需求端「融资涌」同向，对账 regime = 信念；措辞要分清：5 GW 是合同电力不是并网电力，>$40B 是客户承诺不是财报 backlog。全部数字已由股东信升 P1。","11-10（估计）Q3：并网电力兑现率、预付到账、NVIDIA 关联占比。","r: m_nbis_* 全部","B","draft","",""
"kf021","event","2026-08-13","POET Q2 2026 results","前因：POET 是尾仓里体量最小的光互连标的。关键数据：收入 $569,925（+112% YoY），季后新 PO $2.4M，Lumilens 首批 PO $50M。相关方：POET、Lumilens。后果：收入不到 $1M/季，仓位属期权型；D1 光互连子节点上它读不出周期，只读得出订单兑现。","$50M PO 的确认节奏。","r: m_tail_poet","B","draft","",""
"kf022","event","2026-08-21","OpenAI GPT-5.6 Sol 促销 $4/$20（至少到 11-21）","前因：继 7 月中低档降价后，OpenAI 对 Sol 做限时促销。关键数据：$4 / $20 per 1M，输入 −20%、输出 −33%，至少持续到 2026-11-21。相关方：OpenAI。后果：促销而非永久降价，说明前沿档定价仍有下行阻力；11-21 是可观测的到期日。","11-21 后是否恢复原价。","r: m_cost_per_token Sol","B","draft","",""
"kf023","event","2026-08-22","中际旭创 2026 半年报（公告 2026-082）","前因：中际旭创是 800G / 1.6T 光模块全球主力供应商，其海外收入是全球 AI 集群在建强度最干净的中国侧读数。关键数据：H1 营收 ¥417.78 亿（+182.49%），归母净利 ¥136.51 亿（+241.70%），海外业务收入 ≈¥396 亿（+209.9%，占比 ≈94.8% 为计算值）。相关方：中际旭创、海外云厂。后果：对 NBIS 是 3 跳 T1 可回测的供给侧 beta 边，可交易度在全部边里排第二；H1 数字已回巨潮原文升 P1。","≤10-31 三季报；1.6T 放量与客户集中度。","r: m_cn_optics_zte","B","draft","",""
"kf024","event","2026-08-25","新易盛 2026 半年报（公告 2026-044）","前因：与中际旭创并列的光模块龙头，1.6T / Google 敞口更高。关键数据：H1 营收 ¥209.10 亿（+100.34%），归母净利 ¥75.29 亿（+90.98%），境外 ¥204.75 亿。相关方：新易盛。后果：两家合计构成「中国光模块出口」赛道节点（C3 代理假设）；数字为原公告但链路是新浪镜像，巨潮原链待补。","≤10-31 三季报。","r: m_cn_optics_eoptolink","B","draft","",""
"kf025","event","2026-08-26","NVIDIA Q2 FY27 results","前因：NVIDIA 数据中心收入是 D1 加速器出货的代理。关键数据：DC $89.0B（+117%），总收入 $96.2B；Q3 指引 $108.0B ± 2%，毛利率 74.0% ± 50bp，明确不含中国 DC compute 收入。相关方：NVIDIA、hyperscalers、neocloud。后果：对 NBIS 既是供给侧 1 跳边（GPU 可得与成本），也通过 10-Q 的 $18.6B 私营投资与循环融资相连；指引不含中国说明 1 月放开尚未变现，是 D7 与 D1 的交点。","11-17（估计）Q3：中国 DC 是否回到指引；对 neocloud 的投资余额。","r: m_gpu_ship","B","draft","",""
"kf026","event","2026-08-26","亚洲电信科技 0679.HK 中期业绩","前因：基金 5 月起在港股 DI 披露持有 0679.HK 至 10.57% 后减至 9.01%。关键数据：H1 收入 HK$423.9M（去年 HK$236.9M），期内亏损 HK$(19.4)M（公允值亏损所致），电镀设备分部 +90%，中期息 HK$0.02。相关方：亚洲电信科技、基金。后果：非 AI 敞口；5–9 月 17 份公告无 EGM、董事变动、业务转型，13F 表格里「疑似 special situations」的读法缺公告佐证，降为待验证假设 C15。","基金 DI 是否继续减持；是否出现治理动作。","r: m_hkex_0679","B","draft","",""
"kf027","event","2026-08-27","Rubrik Q2 FY27 results","前因：RBRK 是持仓里 29.80% 的第二大仓，本体就是 D6 企业 AI adoption 节点。关键数据：收入 $427.3M（+38%，去年 $309.9M），Sub-ARR $1.66B（+33%），Cloud ARR $1.48B（+39%），FCF $65.7M；Q3 指引收入 $429–431M，FY27 Sub-ARR $1,880–1,885M。相关方：Rubrik。后果：0 跳一手读数，无需外推；上游 D2 版权 / D7 监管边只给方向，D5 AI-native 安全挑战者是做空侧预警。","12-03（估计）Q3：Sub-ARR 是否达 FY 指引节奏；Agent Cloud 收入贡献。","r: m_rbrk_*","B","draft","",""
"kf028","event","2026-08-27","Marvell FY27 Q2 results","前因：定制芯片与光 DSP 供应商，基金 Q2 新建仓。关键数据：数据中心收入 $2,171.5M（+46% YoY，+18% QoQ），总收入 $2.739B（+37%）；Q3 指引 $3.150B ± 5%。相关方：Marvell。后果：D1 定制芯片子节点；新建仓与 DC 加速一致。","Q3 是否达 $3.15B。","r: m_tail_mrvl","B","draft","",""
"kf029","event","2026-09-01","DOJ 在 NYT v. OpenAI 提交 Statement of Interest（支持 fair use）","前因：NYT 诉 OpenAI / Microsoft 版权案进入 summary judgment 阶段，美国司法部依 28 U.S.C. §517 提交 20 页意见书。关键数据：主张 LLM 训练属 fair use，非裁定、无约束力；09-17 各方动议解封；截至 09-19 无裁定无和解。相关方：DOJ、NYT、OpenAI、Microsoft、法官 Stein。后果：D2 数据供给的 regime 变量；若法院采纳，企业数据治理预算的顺风减弱，对 RBRK 的 D2 边方向偏空（T3，只给方向）。","法官裁定或和解；Reddit / Wiley 授权收入是否受影响。","r: m_copyright_lit","B","draft","",""
"kf030","event","2026-09-02","FuelCell Q3 FY26 results + 75MW Capacity Reservation Agreement","前因：FCEL 是持仓里 7.12% 的电力标的，本体即 D1 数据中心电力 / D7 能源约束节点。关键数据：收入 $33.0M（−29%）；committed backlog $1.296B、awarded $2.350B；年化产能 37.1MW，目标 10 月 100MW、2028-06 500MW；季后签首份 75MW Capacity Reservation Agreement（德州，大型 DC 运营商未具名，含预付，金额未披露）。相关方：FuelCell、未具名 DC 运营商。后果：收入下滑但拿到首个数据中心供电协议，是 AI 算力电力瓶颈的一手事件；对手方与金额未披露，合同质量要人判（B）。","10-31 100MW 目标是否达成；75MW 对手方与金额是否披露。","r: m_fcel_*","B","draft","",""
"kf031","event","2026-09-03","Ciena FY26 Q3 results","前因：光通信设备商，基金 Q2 几乎清仓 CIEN（−99.11%）。关键数据：收入 $1.67B（+37%）；Q4 指引 $1.75B ± $50M；FY26 全年上调至 $6.42B ± $50M。相关方：Ciena。后果：与 SNDK 同理，指引上调、仓位清空，E5 轮动是主题迁移不是基本面转弱。","Q4 是否达上调后指引。","r: m_tail_cien","B","draft","",""
"kf032","event","2026-09-03","ARC Prize 发布 GPT-6 Astra ARC-AGI-3 结果","前因：ARC-AGI 是能力前沿最难的第三方基准之一。关键数据：GPT-6 Astra Provider Adapter (High) 99.9%（$18.8K），Standard harness 62.7%（$26.1K）；ARC-AGI-2 上 GPT-6 Astra (Max) 95.0%，$1.12/task。相关方：ARC Prize、OpenAI。后果：D5 能力前沿信号，T_a 中立第三方；对 NBIS 是 3 跳 T3 方向边，只说明「周期还在」，不定量。","下一版基准；开源模型在 ARC 上的差距。","r: m_bench_frontier ARC","B","draft","",""
"kf033","event","2026-09-07","Artificial Analysis Intelligence Index v4.3 发布","前因：AA 是覆盖最全的独立评测。关键数据：榜首 53 并列（Claude Fable 5.1 max with fallback / GPT-6 Astra max），#3 Claude Opus 5 (max) 51；开源最高 GLM-5.3 (max) 45，差距 8 分；每任务成本 Fable 5.1 $7.63、Astra $3.26、GLM-5.3 $2.01。相关方：Artificial Analysis。后果：闭源领先、开源追赶且更便宜；同分下 Astra 成本是 Fable 的 43%，性价比曲线由开源与 OpenAI 共同压低，对 D6 token 经济与 NBIS 推理需求是方向信号。","周更；开源榜首是否缩小差距。","r: m_aa_intel_index; m_open_vs_closed; m_infer_price_perf","B","draft","",""
"kf034","event","2026-09-13","LMArena Text 榜快照","前因：人类偏好投票榜。关键数据：#1 claude-fable-5-high 1506 ± 5（30,057 votes），#2 claude-opus-4-6-high 1505，#3 claude-opus-4-7-high 1502；共 402 模型、8.1M 票。相关方：Arena。后果：与 AA、ARC 交叉印证前沿格局；对书只是 D5 方向信号。","周更。","r: m_bench_frontier Arena","B","draft","",""
"kf035","event","2026-09-30","Micron FY26 Q4 results + 电话会（14:30 MT）","日历里唯一有公司公告的未来财报日。指引 $50.0B ± $1.0B、GM ~86%；HBM4 表述与 FY27 展望是 D1 HBM 子节点下一个硬数据点。","HBM 收入是否单列；对 2027 供需的表述。","r: m_tail_mu","B","draft","",""
"kf036","event","2026-10-07","海关总署 2026 年 9 月进出口数据发布","HS8517 反推光模块出口；系数 C1 未标定，只做方向不出定量。","系数标定前不入 nowcast。","","B","draft","",""
"kf037","event","2026-10-28","hyperscaler Q3 财报季（MSFT / GOOGL / META / AMZN capex）","四家 Q3 capex 与全年指引是否再上调，是供给端「猛建」能否延续的最强读数；日期均为聚合站估计。","统一口径后更新 C11 合计。","","B","draft","",""
"kf038","event","2026-10-31","中际旭创 2026 三季报披露截止","A 股规则推定；1.6T 放量与海外占比是 NBIS 供给侧 T1 边的下一个点。","","","B","draft","",""
"kf039","event","2026-10-31","新易盛 2026 三季报披露截止","同上；两家合计构成光模块赛道节点。","","","B","draft","",""
"kf040","event","2026-10-31","FuelCell 年化产能 100MW 目标节点","公司目标（P4）；达成与否是 FCEL 执行力的第一个可核对节点。","","","B","draft","",""
"kf041","event","2026-11-04","STAAR Q3 2026 results","非 AI 敞口；中国 ICL 销售是中国地面数据 nowcast 的方法论样板。","","","B","draft","",""
"kf042","event","2026-11-07","海关总署 2026 年 10 月进出口数据发布","同 10 月。","","","B","draft","",""
"kf043","event","2026-11-10","Nebius Q3 2026 results + 电话会","持仓里 51% 的票的下一份财报（日期为估计）。核对：并网电力兑现率、预付到账、backlog 增量、NVIDIA 关联占比；Q2 的 P1 数字在此复验。","","","B","draft","",""
"kf044","event","2026-11-16","13F 2026Q3 申报截止","规则推定（45 天 + 周末顺延）；看基金 Q3 轮动方向是否与我们的重点节点排序一致（E5 反向验证）。","","","B","draft","",""
"kf045","event","2026-11-16","CoreWeave Q3 2026 results","NBIS 同业对照；聚合站日期冲突（11-09 / 11-16）。","","","B","draft","",""
"kf046","event","2026-11-17","NVIDIA Q3 FY27 results（数据中心收入）","指引 $108B ± 2% 不含中国 DC compute；中国是否回到指引是 D7 → D1 的关键读数。","","","B","draft","",""
"kf047","event","2026-11-21","GPT-5.6 Sol 促销价最早结束日","促销是否转正，判断前沿档定价是否真的下行。","","","B","draft","",""
"kf048","event","2026-12-03","Rubrik Q3 FY27 results","指引 $429–431M；Sub-ARR 节奏对 FY27 $1,880–1,885M。","","","B","draft","",""
"kf049","event","2026-12-07","海关总署 2026 年 11 月进出口数据发布","同上。","","","B","draft","",""
"kf050","event","2026-12-10","NeurIPS 2026","D5 论文主题斜率的年度锚点；日期地点待核。","","","B","draft","",""
"kf051","event","2026-12-15","FuelCell Q4 FY26 results","75MW 协议对手方与金额是否披露；100MW 产能是否达成。","","","B","draft","",""
"kf052","event","2026-12-31","NBIS 800MW–1GW 上电目标","关键可观测量：并网电力 ≠ 合同电力（5 GW）；延期 = 收入递延（C12）。","","","B","draft","",""
"kf053","event","2027-01-01","Gemini 3.8 Flash 涨价至 $1.50 / $7.50","cost/token 非单调下行的反例；若如期执行，C16′ 分档假设得到验证。","","","B","draft","",""
"kf054","event","2027-02-15","IEA Electricity 2027 报告","数据中心用电年度更新，D7 能源约束的权威口径。","","","B","draft","",""
"kf055","ticker","","NBIS","持仓里 51.22% 的第一大仓。thesis：neocloud 的收入预合同化，因子 = 产能执行 × 需求持续性。供给端：合同电力目标 5 GW、并网 800MW–1GW（年底）、客户承诺 >$40B、预付 >$9B；光模块（旭创 H1 +182%）与 hyperscaler capex（≈$166B/季）证明在建强度。需求端：Reflection 融资后签 $1B 合同、三大 lab 2026 融资 ≈$207B。风险：NVIDIA 既是供芯方、股东（$2B）又是客户的领投方，循环融资敞口是一手事实；对账 regime 目前为「信念」，阈值未定。","11-10 Q3：并网兑现率、预付到账、NVIDIA 关联占比；12-31 上电目标。","13 条边：供给 3 / 需求 6 / regime 3 / 本体 1","B","draft","上游供给（中国光模块、云厂 capex）与下游需求（lab 融资转合同）同向；Q3 看并网兑现与预付到账","AI 侧：Epoch 训练算力增速回落至 2×/年以下、开源与闭源差距归零且前沿档 API 降价，则训练需求逻辑弱化。需求侧：Reflection 类客户不续签、lab 融资转冷（半年无 $10B 级新轮），则需求真实性存疑。执行侧：12-31 并网 <800MW 或 Q3 预付到账明显低于 >$9B 年度指引节奏，则判断转观察。阈值为暂定（C6 未定）。"
"kf056","ticker","","RBRK","29.80% 的第二大仓，本体即 D6 企业 AI adoption 节点，0 跳一手读数。Q2 FY27 收入 $427.3M（+38%）、Sub-ARR $1.66B（+33%）、FCF $65.7M；FY27 Sub-ARR 指引 $1,880–1,885M。上游只有需求侧：AI adoption（可交易）、数据治理 / 版权与 AI 监管（方向）、AI-native 安全挑战者（做空侧）。DOJ 支持 fair use 的立场若被采纳，数据治理预算顺风减弱。","12-03 Q3；Agent Cloud 贡献；挑战者动向。","4 条边","B","draft","企业 AI adoption 一手读数（Sub-ARR +33%）向好；政策侧 DOJ 支持 fair use 对数据治理顺风偏空","Sub-ARR 增速连续两季低于 FY27 指引节奏（$1,880–1,885M 需约 +30%），或 NRR 转弱；AI-native 安全挑战者拿下大客户；法院采纳 fair use 立场使数据治理预算顺风消失。"
"kf057","ticker","","FCEL","7.12% 的电力标的，本体即 D1 数据中心电力 / D7 能源约束节点。Q3 FY26 收入 $33.0M（−29%）但 backlog 合计 $3.65B，季后签首份 75MW 数据中心供电协议（对手方与金额未披露）；产能 37.1MW → 10 月目标 100MW → 2028 目标 500MW。thesis 是「算力的能源约束代理」，验证点在产能目标与协议披露。","10-31 100MW；12 月 Q4 是否披露 75MW 细节。","3 条边","B","draft","收入下滑但首个 75MW 数据中心供电协议落地；验证点是产能目标 100MW 与协议细节披露","10-31 年化产能未达 100MW；Q4 仍不披露 75MW 对手方与金额；数据中心供电订单半年无新增，则「算力能源约束代理」的逻辑失去证据。"
